AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US13167,"Johnson County, Georgia",21.5,20.9
0500000US13169,"Jones County, Georgia",14.2,18.9
0500000US13171,"Lamar County, Georgia",20.8,19.5
0500000US13173,"Lanier County, Georgia",28.7,19
0500000US13175,"Laurens County, Georgia",27.3,19.5
0500000US13177,"Lee County, Georgia",11.6,12.4
0500000US13179,"Liberty County, Georgia",16.6,11.2
0500000US13181,"Lincoln County, Georgia",23,23.9
0500000US13183,"Long County, Georgia",20,9.9
0500000US13185,"Lowndes County, Georgia",25,13.6
0500000US13187,"Lumpkin County, Georgia",20.1,18.9
0500000US13189,"McDuffie County, Georgia",26,19.8
0500000US13191,"McIntosh County, Georgia",20.3,27.6
0500000US13193,"Macon County, Georgia",28.6,20.1
0500000US13195,"Madison County, Georgia",17.6,19.4
0500000US13197,"Marion County, Georgia",23.1,21.3
0500000US13199,"Meriwether County, Georgia",22.7,22.8
0500000US13201,"Miller County, Georgia",23.3,21.9
0500000US13205,"Mitchell County, Georgia",27.1,19.8
0500000US13207,"Monroe County, Georgia",13.3,19.7
0500000US13209,"Montgomery County, Georgia",19.5,19.6
0500000US13211,"Morgan County, Georgia",13.4,21.1
0500000US13213,"Murray County, Georgia",18,17.2
0500000US13215,"Muscogee County, Georgia",21.7,16.1
0500000US13217,"Newton County, Georgia",16.7,14.9
0500000US13219,"Oconee County, Georgia",6.9,15.5
0500000US13221,"Oglethorpe County, Georgia",17.6,20.4
0500000US13223,"Paulding County, Georgia",9.7,11.1
0500000US13225,"Peach County, Georgia",18.7,17.5
0500000US13227,"Pickens County, Georgia",9.8,23
0500000US13229,"Pierce County, Georgia",21,19.7
0500000US13231,"Pike County, Georgia",12.3,18
0500000US13233,"Polk County, Georgia",19,17.6
0500000US13235,"Pulaski County, Georgia",21.8,24.9
0500000US13237,"Putnam County, Georgia",16.2,24.7
0500000US13239,"Quitman County, Georgia",22.8,36.8
0500000US13241,"Rabun County, Georgia",20.3,28.9
0500000US13243,"Randolph County, Georgia",35.1,25.9
0500000US13245,"Richmond County, Georgia",24.2,16.2
0500000US13247,"Rockdale County, Georgia",16.3,15
0500000US13249,"Schley County, Georgia",22.2,20.4
0500000US13251,"Screven County, Georgia",22.6,20.5
0500000US13253,"Seminole County, Georgia",25.5,23.7
0500000US13255,"Spalding County, Georgia",21.6,20.8
0500000US13257,"Stephens County, Georgia",18.1,21.1
0500000US13259,"Stewart County, Georgia",41.5,24.5
